code_name,full_name,indicator_name
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Euribor 3-month,Euribor 3M %
FM.Q.GB.USD.RT.MM.USD3MFSR_.HSTA,Libor 3-month,Libor 3M %
