"","title","code","type","last.update.of.data","last.table.structure.change","data.start","data.end","values","hierarchy"
"48","Population by group of country of birth, educational attainment level and NUTS 2 region","cens_11cobe_r2","dataset","26.08.2015","10.01.2024","2011","2011",705614,7
"49","Population by group of country of birth, current activity status and NUTS 2 region","cens_11coba_r2","dataset","26.08.2015","10.01.2024","2011","2011",424630,7
"50","Population by group of country of birth, occupation and NUTS 2 region","cens_11cobo_r2","dataset","26.08.2015","10.01.2024","2011","2011",788639,7
"51","Population by period of arrival in the country, country of birth and NUTS 2 region","cens_11arco_r2","dataset","26.08.2015","10.01.2024","2011","2011",111921,7
"52","Private households by type, tenure status and NUTS 2 region","cens_11htts_r2","dataset","23.04.2015","10.01.2024","2011","2011",57341,6
"53","Population by housing arrangement and NUTS 2 region","cens_11hou_r2","dataset","26.08.2015","10.01.2024","2011","2011",76991,6
"54","Gross domestic product (GDP) at current market prices by NUTS 2 region","nama_10r_2gdp","dataset","19.02.2024","19.02.2024","2000","2022",69176,5
"55","Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region","nama_10r_2gvagr","dataset","19.02.2024","19.02.2024","1995","2022",39297,5
"56","Gross fixed capital formation by NUTS 2 region","nama_10r_2gfcf","dataset","19.02.2024","19.02.2024","1995","2022",267294,5
"57","Compensation of employees by NUTS 2 region","nama_10r_2coe","dataset","19.02.2024","19.02.2024","1995","2022",270976,5
"58","Employment (thousand hours worked) by NUTS 2 region","nama_10r_2emhrw","dataset","08.08.2024","19.02.2024","1995","2022",260118,5
"59","Income of households by NUTS 2 region","nama_10r_2hhinc","dataset","19.02.2024","19.02.2024","1995","2022",266524,5
"60","Pupils enrolled in early childhood education by sex and NUTS 2 region","educ_uoe_enrp03","dataset","26.07.2024","23.05.2024","2013","2022",34740,5
"61","Pupils enrolled in primary education by sex and NUTS 2 region","educ_uoe_enrp06","dataset","26.07.2024","23.05.2024","2013","2022",13395,5
"62","Pupils enrolled in lower-secondary education by programme orientation, sex and NUTS 2 region","educ_uoe_enrs03","dataset","26.07.2024","23.05.2024","2013","2022",39936,5
"63","Pupils enrolled in upper secondary education by programme orientation, sex and NUTS 2 region","educ_uoe_enrs06","dataset","26.07.2024","23.05.2024","2013","2022",40176,5
"64","Pupils enrolled in post-secondary non-tertiary education by programme orientation, sex and NUTS 2 region","educ_uoe_enrs09","dataset","26.07.2024","23.05.2024","2013","2022",39948,5
"65","Ratio of the proportion of tertiary students over the proportion of the population by NUTS 1 and NUTS 2 region","educ_uoe_enrt05","dataset","26.07.2024","23.05.2024","2013","2022",3864,5
"66","Students enrolled in tertiary education by education level, programme orientation, sex and NUTS 2 region","educ_uoe_enrt06","dataset","26.07.2024","23.05.2024","2013","2022",93176,5
"67","Pupils and students enrolled by education level, sex and NUTS 2 region","educ_uoe_enra11","dataset","26.07.2024","23.05.2024","2013","2022",133536,5
"68","Pupils and students enrolled by sex, age and NUTS 2 region","educ_uoe_enra12","dataset","26.07.2024","23.05.2024","2013","2022",450351,5
"69","Distribution of pupils and students enrolled in general and vocational programmes by education level and NUTS 2 region","educ_uoe_enra13","dataset","26.07.2024","23.05.2024","2013","2022",32767,5
"70","Pupils from age 4 to the starting age of compulsory education at primary level by NUTS 2 region - % of the population of the corresponding age","educ_uoe_enra17","dataset","26.07.2024","23.05.2024","2013","2022",3952,5
"71","Pupils from age 3 to the starting age of compulsory education at primary level by NUTS 2 region - % of the population of the corresponding age","educ_uoe_enra22","dataset","26.07.2024","23.05.2024","2013","2022",3595,5
"72","Students by level of education, orientation, sex and NUTS 2 region","educ_renrlrg1","dataset","15.03.2019","10.01.2024","1998","2012",190546,5
"73","Students by age, sex and NUTS 2 region","educ_renrlrg3","dataset","15.03.2019","10.01.2024","1998","2012",404250,5
"74","Education indicators by NUTS 2 region","educ_regind","dataset","15.03.2019","10.01.2024","1998","2012",43983,5
"75","Participation rate in education and training (last 4 weeks) by NUTS 2 region","trng_lfse_04","dataset","12.09.2024","24.04.2024","2000","2023",31961,5
"76","Population by educational attainment level, sex and NUTS 2 region (%)","edat_lfse_04","dataset","12.09.2024","24.04.2024","2000","2023",612157,5
"77","Early leavers from education and training by sex and NUTS 2 region","edat_lfse_16","dataset","12.09.2024","24.04.2024","2000","2023",32169,5
"78","Young people neither in employment nor in education and training by sex and NUTS 2 region (NEET rates)","edat_lfse_22","dataset","12.09.2024","24.04.2024","2000","2023",128547,5
"79","Employment rates of young people not in education and training by sex, educational attainment level, years since completion of highest level of education and NUTS 2 region","edat_lfse_33","dataset","12.09.2024","24.04.2024","2000","2023",3852642,5
"80","R&D personnel and researchers by sector of performance, sex and NUTS 2 region","rd_p_persreg","dataset","25.09.2024","24.09.2024","1980","2022",572111,5
"81","GERD by sector of performance and NUTS 2 region","rd_e_gerdreg","dataset","30.09.2024","30.09.2024","1980","2022",282069,5
"82","Employment in technology and knowledge-intensive sectors by NUTS 2 region and sex (1994-2008, NACE Rev. 1.1)","htec_emp_reg","dataset","15.02.2023","10.01.2024","1999","2008",654416,5
"83","Employment in technology and knowledge-intensive sectors by NUTS 2 region and sex (from 2008 onwards, NACE Rev. 2)","htec_emp_reg2","dataset","12.09.2024","24.04.2024","2008","2023",1400448,5
"84","HRST by category and NUTS 2 region","hrst_st_rcat","dataset","12.09.2024","24.04.2024","1999","2023",167568,5
"85","SBS data by NUTS 2 region and NACE Rev. 2 (2008-2020)","sbs_r_nuts06_r2","dataset","01.03.2024","10.01.2024","2008","2020",2139869,4
"86","Multiannual statistics for distributive trades (NACE Rev. 2, G) by NUTS 2 region (2009-2014)","sbs_r_3k_my_r2","dataset","24.05.2019","10.01.2024","2009","2014",26758,4
"87","SBS data by NUTS 2 region (NUTS 2006) and NACE Rev. 1.1 (1995-2007)","sbs_r_nuts03","dataset","27.10.2022","23.09.2023","1995","2007",1793482,4
"88","Number of local units, persons employed and wages and salaries by NUTS 2 region (1997-2007)","sbs_cre_rreg","dataset","06.10.2010","07.06.2024","1997","2007",4070,4
"89","Multi yearly statistics by NUTS 2 region (NUTS 2006) (1999-2004)","sbs_r_3f_my","dataset","10.09.2009","08.02.2021","1999","2004",8079,4
"90","Causes of death - crude death rate by NUTS 2 region of residence","hlth_cd_acdr2","dataset","25.04.2024","25.03.2024","2011","2021",6549928,5
"91","Causes of death - standardised death rate by NUTS 2 region of residence","hlth_cd_asdr2","dataset","25.04.2024","25.03.2024","2011","2021",3830826,5
"92","Causes of death - deaths by NUTS 2 region of residence and occurrence, 3 year average","hlth_cd_yro","dataset","26.04.2024","25.03.2024","2013","2021",98209349,5
"93","Causes of death - standardised death rate by NUTS 2 region of residence, 3 year average","hlth_cd_ysdr2","dataset","26.04.2024","25.03.2024","2013","2021",2962242,5
"94","Causes of death - crude death rate by NUTS 2 region of residence, 3 year average","hlth_cd_ycdr2","dataset","26.04.2024","25.03.2024","2013","2021",29763194,5
"95","Causes of death - years and potential years of life lost by NUTS 2 region of residence, 3 year average","hlth_cd_ypyll","dataset","26.04.2024","25.03.2024","2013","2021",12219,5
"96","Causes of death - infant mortality by NUTS 2 region of residence, 3 year average","hlth_cd_yinfr","dataset","26.04.2024","25.03.2024","2013","2021",4537933,5
"97","Causes of death - infant mortality by NUTS 2 region of occurrence, 3 year average","hlth_cd_yinfo","dataset","26.04.2024","25.03.2024","2013","2021",7895010,5
"98","Peri-neonatal mortality by age of mother and parity, by NUTS 2 region of residence and occurrence, 3 year average","hlth_cd_yperro","dataset","26.04.2024","25.03.2024","2013","2021",992547,5
"99","Fetal, peri- and neonatal mortality rates by NUTS 2 region of occurrence, 3 year average","hlth_cd_yperrto","dataset","26.04.2024","25.03.2024","2013","2021",33765,5
"100","Hospital discharges by diagnosis and NUTS 2 region, in-patients, total number - total","hlth_co_disch1t","dataset","21.11.2023","10.01.2024","2000","2021",11490302,5
"101","Hospital discharges by diagnosis and NUTS 2 region, in-patients, total number - males","hlth_co_disch1m","dataset","21.11.2023","10.01.2024","2000","2021",10313010,5
"102","Hospital discharges by diagnosis, NUTS 2 region, in-patients and total number - females","hlth_co_disch1f","dataset","21.11.2023","10.01.2024","2000","2021",11233053,5
"103","Hospital discharges by diagnosis and NUTS 2 region, in-patients, per 100 000 inhabitants - total","hlth_co_disch2t","dataset","21.11.2023","10.01.2024","2000","2021",10736776,5
"104","Hospital discharges by diagnosis and NUTS 2 region, in-patients, per 100 000 inhabitants - males","hlth_co_disch2m","dataset","21.11.2023","10.01.2024","2000","2021",9638145,5
"105","Hospital discharges by diagnosis and NUTS 2 region, in-patients, per 100 000 inhabitants - females","hlth_co_disch2f","dataset","21.11.2023","10.01.2024","2000","2021",10498288,5
"106","Hospital discharges by diagnosis and NUTS 2 region, day cases, total number - total","hlth_co_disch3t","dataset","21.11.2023","10.01.2024","2000","2021",10569994,5
"107","Hospital discharges by diagnosis and NUTS 2 region, day cases, total number - males","hlth_co_disch3m","dataset","21.11.2023","10.01.2024","2000","2021",9478192,5
"108","Hospital discharges by diagnosis and NUTS 2 region, day cases, total number - females","hlth_co_disch3f","dataset","21.11.2023","10.01.2024","2000","2021",10323745,5
"109","Hospital discharges by diagnosis and NUTS 2 region, day cases, per 100 000 inhabitants - total","hlth_co_disch4t","dataset","21.11.2023","10.01.2024","2000","2021",9876996,5
"110","Hospital discharges by diagnosis and NUTS 2 region, day cases, per 100 000 inhabitants - males","hlth_co_disch4m","dataset","21.11.2023","10.01.2024","2000","2021",8857013,5
"111","Hospital discharges by diagnosis and NUTS 2 region, day cases, per 100 000 inhabitants - females","hlth_co_disch4f","dataset","21.11.2023","10.01.2024","2000","2021",9664091,5
"112","In-patient average length of stay (days) by NUTS 2 region - total","hlth_co_inpstt","dataset","21.11.2023","10.01.2024","1999","2021",9503589,5
"113","In-patient average length of stay (days) by NUTS 2 region - males","hlth_co_inpstm","dataset","21.11.2023","10.01.2024","1999","2021",8473961,5
"114","In-patient average length of stay (days) by NUTS 2 region - females","hlth_co_inpstf","dataset","21.11.2023","10.01.2024","1999","2021",8954435,5
"115","Hospital days of in-patients by NUTS 2 region - total","hlth_co_hosdayt","dataset","21.11.2023","10.01.2024","1999","2021",11483579,5
"116","Hospital days of in-patients by NUTS 2 region - males","hlth_co_hosdaym","dataset","21.11.2023","10.01.2024","1999","2021",10299265,5
"117","Hospital days of in-patients by NUTS 2 region - females","hlth_co_hosdayf","dataset","21.11.2023","10.01.2024","1999","2021",11216989,5
"118","Available beds in hospitals by NUTS 2 region","hlth_rs_bdsrg2","dataset","03.09.2024","25.07.2024","1993","2022",16926,5
"119","Prevalence of disability by sex, economic activity (NACE Rev. 1) and NUTS 2 region","hlth_db_emrena","dataset","26.03.2009","21.12.2023","2002","2002",11988,5
"120","Physicians by NUTS 2 region","hlth_rs_physreg","dataset","11.09.2024","25.07.2024","1993","2022",17901,5
"121","Arrivals at tourist accommodation establishments by NUTS 2 region","tour_occ_arn2","dataset","29.10.2024","06.09.2024","1990","2023",267395,5
"122","Nights spent at tourist accommodation establishments by NUTS 2 region","tour_occ_nin2","dataset","29.10.2024","10.09.2024","1990","2023",371993,5
"123","Net occupancy rate of bed-places and bedrooms in hotels and similar accommodation (NACE Rev. 2 activity I55.1) by  NUTS 2 region","tour_occ_anor2","dataset","29.10.2024","02.10.2024","2012","2023",9895,5
"124","Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area and NUTS 2 region","tour_occ_nin2dc","dataset","29.10.2024","06.09.2024","2012","2023",201727,5
"125","Nights spent at tourist accommodation establishments  by month and NUTS 2 region (from 2020 onwards)","tour_occ_nin2m","dataset","29.10.2024","02.09.2024","2020","2023",288153,5
"126","Establishments, bedrooms and bed-places in tourist accommodation, by NUTS 2 region","tour_cap_nuts2","dataset","29.10.2024","27.09.2024","1990","2023",250813,5
"127","Establishments, bedrooms and bed-places in tourist accommodation, by degree of urbanisation and coastal/non-coastal area and NUTS 2 region","tour_cap_nuts2dc","dataset","29.10.2024","27.09.2024","2012","2023",484038,5
"128","Short-stay accommodation offered via collaborative economy platforms by months, residence of the guest and NUTS 1 and NUTS 2 region - experimental statistics","tour_ce_omn12","dataset","03.10.2024","03.10.2024","2018","2024",280569,5
"129","Guest nights spent at short-stay accommodation offered via collaborative economy platforms by NUTS 1 and NUTS 2 region, by world region of residence of the guest - experimental statistics","tour_ce_oaw","dataset","28.07.2024","28.07.2024","2018","2023",20710,5
"130","Maritime transport of passengers by NUTS 2 region (questionnaire)","tran_r_mapa_om","dataset","27.03.2009","29.08.2024","1978","2002",7266,6
"131","Maritime transport of freight by NUTS 2 region (questionnaire)","tran_r_mago_om","dataset","27.03.2009","29.08.2024","1978","2002",11443,6
"132","Air transport of passengers by NUTS 2 region (questionnaire)","tran_r_avpa_om","dataset","27.03.2009","14.10.2024","1978","2002",13811,6
"133","Air transport of freight by NUTS 2 region (questionnaire)","tran_r_avgo_om","dataset","27.03.2009","29.08.2024","1978","2002",10487,6
"134","Road, rail and navigable inland waterways networks by NUTS 2 region","tran_r_net","dataset","20.06.2024","28.08.2024","1990","2022",93318,5
"135","Stock of vehicles by category and NUTS 2 region","tran_r_vehst","dataset","01.10.2024","28.08.2024","1990","2022",130035,5
"136","Victims in road accidents by NUTS 2 region","tran_r_acci","dataset","05.05.2024","05.05.2024","1990","2022",52849,5
"137","Maritime transport of passengers by NUTS 2 region","tran_r_mapa_nm","dataset","05.05.2024","29.08.2024","1997","2022",14817,5
"138","Maritime transport of freight by NUTS 2 region","tran_r_mago_nm","dataset","05.05.2024","29.08.2024","1997","2022",15291,5
"139","Air transport of passengers by NUTS 2 region","tran_r_avpa_nm","dataset","05.05.2024","29.08.2024","1993","2022",22730,5
"140","Air transport of freight by NUTS 2 region","tran_r_avgo_nm","dataset","05.05.2024","29.08.2024","1993","2022",21322,5
"141","Railway transport - national and international railway goods transport by loading/unloading NUTS 2 region","tran_r_rago","dataset","04.07.2024","07.06.2024","2005","2020",78725,5
"142","Railway transport - national and international railway passengers transport by loading/unloading NUTS 2 region","tran_r_rapa","dataset","09.06.2022","10.01.2024","2005","2020",72300,5
"143","Population by sex, age, citizenship, labour status and NUTS 2 region","lfst_r_lfsd2pwn","dataset","12.09.2024","24.04.2024","1999","2023",4890896,5
"144","Population by sex, age, country of birth, labour status and NUTS 2 region","lfst_r_lfsd2pwc","dataset","12.09.2024","24.04.2024","1999","2023",4732810,5
"145","Population by sex, age, educational attainment level and NUTS 2 region (1 000)","lfst_r_lfsd2pop","dataset","12.09.2024","24.04.2024","1999","2023",1874689,5
"146","Economically active population by sex, age and NUTS 2 region (1 000)","lfst_r_lfp2act","dataset","12.09.2024","24.04.2024","1999","2023",404064,5
"147","Activity rates by sex, age, educational attainment level, citizenship and NUTS 2 region","lfst_r_lfp2actrtn","dataset","12.09.2024","24.04.2024","1999","2023",2778836,5
"148","Activity rates by sex, age, educational attainment level, country of birth and NUTS 2 region","lfst_r_lfp2actrc","dataset","12.09.2024","24.04.2024","1999","2023",2720405,5
"149","Economic activity rates by sex, age and NUTS 2 region (%)","lfst_r_lfp2actrt","dataset","12.09.2024","24.04.2024","1999","2023",370491,5
"150","Economically active population by sex, age, educational attainment level and NUTS 2 region (1 000)","lfst_r_lfp2acedu","dataset","12.09.2024","24.04.2024","1999","2023",444363,5
"151","Employment by sex, age and NUTS 2 region (1 000)","lfst_r_lfe2emp","dataset","12.09.2024","24.04.2024","1999","2023",404060,5
"152","Employment by sex, age, economic activity and NUTS 2 region (NACE Rev. 2) (1 000)","lfst_r_lfe2en2","dataset","12.09.2024","24.04.2024","2008","2023",1466374,5
"153","Employment by sex, age, economic activity and NUTS 2 region (1999-2008, NACE Rev. 1.1) (1 000)","lfst_r_lfe2en1","dataset","15.02.2023","10.01.2024","1999","2008",667065,5
"154","Employment by sex, age, professional status and NUTS 2 region (1 000)","lfst_r_lfe2estat","dataset","12.09.2024","24.04.2024","1999","2023",1419802,5
"155","Employment by sex, age, full-time/part-time, professional status and NUTS 2 region (1 000)","lfst_r_lfe2eftpt","dataset","12.09.2024","24.04.2024","1999","2023",3947800,5
"156","Employment by sex, age, educational attainment level and NUTS 2 region (1 000)","lfst_r_lfe2eedu","dataset","12.09.2024","24.04.2024","1999","2023",871028,5
"157","Employment and commuting by sex, age and NUTS 2 region","lfst_r_lfe2ecomm","dataset","12.09.2024","24.04.2024","1999","2023",298492,5
"158","Employment by sex, age, job tenure and NUTS 2 region","lfst_r_egad","dataset","12.09.2024","24.04.2024","1999","2023",2576280,5
"159","Employment rates by sex, age, educational attainment level, citizenship and NUTS 2 region","lfst_r_lfe2emprtn","dataset","12.09.2024","24.04.2024","1999","2023",2778836,5
"160","Employment rates by sex, age, educational attainment level, country of birth and NUTS 2 region","lfst_r_lfe2emprc","dataset","12.09.2024","24.04.2024","1999","2023",2720405,5
"161","Employment rates by sex, age and NUTS 2 region (%)","lfst_r_lfe2emprt","dataset","12.09.2024","24.04.2024","1999","2023",404172,5
"162","Average number of usual weekly hours of work in main job by sex, age and NUTS 2 region (hours)","lfst_r_lfe2ehour","dataset","12.09.2024","24.04.2024","1999","2023",234627,5
"163","Average number of actual weekly hours of work in main job by sex, age and NUTS 2 region","lfst_r_lfe2ehrwa","dataset","12.09.2024","24.04.2024","1999","2023",235610,5
"164","Unemployment by sex, age, educational attainment level and NUTS 2 region (1 000)","lfst_r_lfu3pers","dataset","12.09.2024","24.04.2024","1999","2023",1386815,5
"165","Unemployment rates by sex, age, educational attainment level and NUTS 2 region (%)","lfst_r_lfu3rt","dataset","12.09.2024","24.04.2024","1999","2023",1547404,5
"166","Long-term unemployment (12 months and more) by sex, age, educational attainment level and NUTS 2 region (%)","lfst_r_lfu2ltu","dataset","12.09.2024","24.04.2024","1999","2023",2889249,5
"167","Unemployment by sex, age, country of birth and NUTS 2 region","lfst_r_lfu2gac","dataset","12.09.2024","24.04.2024","1999","2023",812409,5
"168","Unemployment rates by sex, age, country of birth and NUTS 2 region","lfst_r_lfur2gac","dataset","12.09.2024","24.04.2024","1999","2023",812409,5
"169","Unemployment by sex, age, citizenship and NUTS 2 region","lfst_r_lfu2gan","dataset","12.09.2024","24.04.2024","1999","2023",852024,5
"170","Unemployment rates by sex, age, citizenship and NUTS 2 region","lfst_r_lfur2gan","dataset","12.09.2024","24.04.2024","1999","2023",852024,5
"171","Labour market slack by sex, age and NUTS 2 region","lfst_r_sla_ga","dataset","12.09.2024","24.04.2024","2008","2023",180024,5
"172","Job vacancy statistics by occupation, NUTS 2 region and NACE Rev. 2 activity - annual data (2008-2015)","jvs_a_nace2","dataset","08.06.2016","21.12.2023","2008","2015",296421,5
"173","Job vacancy statistics by occupation, NUTS 2 region and NACE Rev. 1.1 activity - annual data (2000-2008)","jvs_a_nace1","dataset","17.01.2017","21.12.2023","2000","2008",183946,5
"174","Use of computers and the internet by employees, by NACE Rev.2 activity and NUTS 2 region","isoc_r_ci_cm_pn2","dataset","24.09.2024","24.09.2024","2023","2023",1621,5
"175","Internet access by NACE Rev.2 activity and NUTS 2 region","isoc_r_ci_in_en2","dataset","24.09.2024","24.09.2024","2023","2023",6653,5
"176","Type of connections to the internet by NACE Rev.2 activity and NUTS 2 region","isoc_r_ci_it_en2","dataset","24.09.2024","24.09.2024","2023","2023",37332,5
"177","Cloud computing services by NACE Rev.2 activity and NUTS 2 region","isoc_r_cicce_usen2","dataset","24.09.2024","24.09.2024","2023","2023",6392,5
"178","Artificial intelligence by NACE Rev.2 activity and NUTS 2 region","isoc_r_eb_ain2","dataset","24.09.2024","24.09.2024","2023","2023",35354,5
"179","Integration with customers/suppliers, supply chain management by NACE Rev.2 activity and NUTS 2 region","isoc_r_eb_icsn2","dataset","24.09.2024","24.09.2024","2023","2023",9834,5
"180","Integration of internal processes by NACE Rev.2 activity and NUTS 2 region","isoc_r_eb_iipn2","dataset","24.09.2024","24.09.2024","2023","2023",11748,5
"181","E-commerce sales of enterprises by NACE Rev.2 activity and NUTS 2 region","isoc_r_ec_eseln2","dataset","24.09.2024","24.09.2024","2023","2023",3226,5
"182","Value of e-commerce sales by NACE Rev.2 activity and NUTS 2 region","isoc_r_ec_evaln2","dataset","24.09.2024","24.09.2024","2023","2023",1585,5
"183","Data analytics by NACE Rev.2 activity and NUTS 2 region","isoc_r_eb_dan2","dataset","24.09.2024","24.09.2024","2023","2023",2974,5
"184","Number of households by degree of urbanisation and NUTS 2 region (1 000)","lfst_r_lfsd2hh","dataset","12.09.2024","24.04.2024","2006","2023",29049,5
"185","Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area and NUTS 2 region","tour_occ_nin2dc","dataset","29.10.2024","06.09.2024","2012","2023",201727,4
"186","Establishments, bedrooms and bed-places in tourist accommodation, by degree of urbanisation and coastal/non-coastal area and NUTS 2 region","tour_cap_nuts2dc","dataset","29.10.2024","27.09.2024","2012","2023",484038,4
