"","title","code","type","last.update.of.data","last.table.structure.change","data.start","data.end","values","hierarchy"
"1","Key farm variables: area, livestock (LSU), labour force and standard output (SO) by agricultural size of farm (UAA), legal status of holding and NUTS 2 region","ef_kvaareg","dataset","16.01.2017","10.01.2024","2005","2013",225387,7
"2","Key variables: area, livestock (LSU), labour force and standard output (SO) by economic size of farm (SO in Euro), legal status of holding and NUTS 2 region","ef_kvecsleg","dataset","16.01.2017","10.01.2024","2005","2013",291960,7
"3","Key variables: area, livestock (LSU), labour force and standard output (SO) by type of farming (2-digit) and NUTS 2 region","ef_kvftreg","dataset","16.01.2017","10.01.2024","2005","2013",215317,7
"4","Land use: number of farms and areas of different crops by agricultural size of farm (UAA) and NUTS 2 region","ef_oluaareg","dataset","16.01.2017","10.01.2024","2005","2013",1595010,7
"5","Land use: number of farms and areas of different crops by economic size of farm (SO in Euro) and NUTS 2 region","ef_oluecsreg","dataset","16.01.2017","10.01.2024","2005","2013",1866130,7
"6","Permanent crops: number of farms and areas by size of permanent crop area and NUTS 2 region","ef_popermreg","dataset","16.01.2017","10.01.2024","2005","2013",427965,7
"7","Irrigation: number of farms, areas and equipment by size of irrigated area and NUTS 2 region","ef_poirrig","dataset","19.04.2018","10.01.2024","2005","2013",210039,7
"8","Livestock: number of farms and heads of animals of different types by agricultural size of farm (UAA) and NUTS 2 region","ef_olsaareg","dataset","16.01.2017","10.01.2024","2005","2013",595241,7
"9","Livestock: number of farms and heads of animals by livestock units (LSU) of farm and NUTS 2 region","ef_olslsureg","dataset","16.01.2017","10.01.2024","2005","2013",589665,7
"10","Livestock: number of farms and heads of animals by economic size of farm (SO in Euro) and NUTS 2 region","ef_olsecsreg","dataset","16.01.2017","10.01.2024","2005","2013",695956,7
"11","Labour force: number of persons and farm work (AWU) by sex of workers and NUTS 2 region","ef_olfreg","dataset","16.01.2017","10.01.2024","2005","2013",38800,7
"12","Organic farming: number of farms, areas with different crops and heads of different types of animals by agricultural size of farm (UAA) and NUTS 2 region","ef_mporganic","dataset","16.01.2017","10.01.2024","2003","2013",320160,7
"13","Type of tenure: number of farms and areas by agricultural size of farm (UAA) and NUTS 2 region","ef_mptenure","dataset","16.01.2017","10.01.2024","2005","2013",92614,7
"14","Type of tenure: number of farms and areas by economic size of farm (SO in Euro) and NUTS 2 region","ef_mptenurecs","dataset","16.01.2017","10.01.2024","2005","2013",109368,7
"15","Key variables by legal status of holding, size of farm (UAA) and NUTS 2 region","ef_ov_kvaa","dataset","27.03.2009","21.12.2023","1990","2007",250844,7
"16","Key variables by type of farming (2-digit) and NUTS 2 region","ef_ov_kvftreg","dataset","27.03.2009","21.12.2023","2000","2007",133474,7
"17","Farmland: number of farms and areas by size of farm (UAA) and NUTS 2 region","ef_lu_ovcropaa","dataset","27.03.2009","21.12.2023","1990","2007",1969784,7
"18","Farmland: number of farms and areas by economic size of farm (ESU) and NUTS 2 region","ef_lu_ovcropesu","dataset","27.03.2009","21.12.2023","1990","2007",1959788,7
"19","Permanent crops: number of farms and areas by size of farm (UAA), size of permanent crop area and NUTS 2 region","ef_lu_pcreg","dataset","27.03.2009","21.12.2023","1990","2007",492194,7
"20","Irrigation: number of farms, areas and equipment by size of farm (UAA) and NUTS 2 region","ef_lu_ofirrig","dataset","27.03.2009","21.12.2023","1990","2007",21949,7
"21","Livestock: number of farms and heads by size of farm (UAA) and NUTS 2 region","ef_ls_ovaareg","dataset","27.03.2009","21.12.2023","1990","2007",761128,7
"22","Livestock: number of farms and heads by livestock units (LSU) of farm and NUTS 2 region","ef_ls_ovlsureg","dataset","27.03.2009","21.12.2023","1990","2007",759761,7
"23","Livestock: number of farms and heads by economic size of farm (ESU) and NUTS 2 region","ef_ls_ovesu","dataset","27.03.2009","21.12.2023","1990","2007",757142,7
"24","Organic farming: selected variables by size of farm (UAA) and NUTS 2 region","ef_so_mporg","dataset","17.04.2009","21.12.2023","2000","2007",98860,7
"25","Type of tenure: number of farms and areas by size of farm (UAA) and NUTS 2 region","ef_so_mptenure","dataset","27.03.2009","21.12.2023","1990","2007",111860,7
"26","Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, size of farm (UAA) and NUTS 2 region","ef_so_lfaa","dataset","14.04.2009","21.12.2023","1990","2007",1714420,7
"27","Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, economic size of farm (ESU) and NUTS 2 region","ef_so_lfesu","dataset","14.04.2009","21.12.2023","1990","2007",1676077,7
"28","Animal populations by NUTS 2 region","agr_r_animal","dataset","17.10.2024","09.09.2024","1977","2024",422132,5
"29","Production of cow's milk on farms by NUTS 2 region","agr_r_milkpr","dataset","07.10.2024","07.10.2024","1995","2023",11226,5
"30","Economic accounts for agriculture by NUTS 2 region","agr_r_accts","dataset","22.02.2024","02.07.2024","1980","2022",4232840,5
"31","Population on 1 January by age, sex and NUTS 2 region","demo_r_d2jan","dataset","05.11.2024","02.02.2024","1990","2023",4407435,5
"32","Population on 1 January by age group, sex and NUTS 2 region","demo_r_pjangroup","dataset","05.11.2024","02.02.2024","1990","2023",969191,5
"33","Population structure indicators by NUTS 2 region","demo_r_pjanind2","dataset","05.11.2024","12.02.2024","1990","2023",690593,5
"34","Live births by mother's age and NUTS 2 region","demo_r_fagec","dataset","03.09.2024","22.02.2024","1990","2022",509535,5
"35","Fertility rates by age and NUTS 2 region","demo_r_frate2","dataset","03.09.2024","22.02.2024","1990","2022",462529,5
"36","Fertility indicators by NUTS 2 region","demo_r_find2","dataset","03.09.2024","22.02.2024","1990","2022",38194,5
"37","Deaths by age, sex and NUTS 2 region","demo_r_magec","dataset","05.09.2024","14.03.2024","1990","2022",3980520,5
"38","Infant mortality by NUTS 2 region","demo_r_minf","dataset","05.09.2024","14.03.2024","1990","2022",12169,5
"39","Infant mortality rates by NUTS 2 region","demo_r_minfind","dataset","31.07.2024","14.03.2024","1990","2022",12746,5
"40","Life table by age, sex and NUTS 2 region","demo_r_mlife","dataset","05.09.2024","14.03.2024","1990","2022",25135126,5
"41","Life expectancy by age, sex and NUTS 2 region","demo_r_mlifexp","dataset","05.09.2024","07.03.2024","1990","2022",3218021,5
"42","Population by current activity status, educational attainment level and NUTS 2 region","cens_11aed_r2","dataset","01.04.2019","10.01.2024","2011","2011",2425928,7
"43","Population by current activity status, occupation and NUTS 2 region","cens_11ao_r2","dataset","26.08.2015","10.01.2024","2011","2011",3172833,7
"44","Population by current activity status, NACE Rev. 2 activity and NUTS 2 region","cens_11an_r2","dataset","23.07.2015","31.01.2024","2011","2011",3110101,7
"45","Population by status in employment, occupation and NUTS 2 region","cens_11empo_r2","dataset","01.04.2019","10.01.2024","2011","2011",3675197,7
"46","Population by status in employment, NACE Rev. 2 activity and NUTS 2 region","cens_11empn_r2","dataset","22.07.2015","31.01.2024","2011","2011",3694015,7
"47","Population by group of citizenship, occupation and NUTS 2 region","cens_11ctzo_r2","dataset","26.08.2015","10.01.2024","2011","2011",789038,7
