"","title","code","type","last.update.of.data","last.table.structure.change","data.start","data.end","values","hierarchy"
"37","Mean annual earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O","earn_ses10_rann","dataset","23.02.2016","10.01.2024","2010","2010",102,6
"38","Mean hourly earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L","earn_ses06_rhr","dataset","03.02.2015","03.01.2024","2006","2006",91,6
"39","Mean annual earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L","earn_ses06_rann","dataset","03.02.2015","03.01.2024","2006","2006",100,6
"40","Labour cost, wages and salaries, direct remuneration by NACE Rev. 2 activity and NUTS 1 region","lc_rcost_r2","dataset","05.10.2023","10.01.2024","2008","2020",952914,6
"41","Structure of labour cost by NACE Rev. 2 activity and NUTS 1 region - % of total cost","lc_rstruc_r2","dataset","05.10.2023","10.01.2024","2008","2020",615298,6
"42","Number of employees and hours worked, by working time, NACE Rev. 2 activity and NUTS 1 region","lc_rnum1_r2","dataset","05.10.2023","10.01.2024","2008","2020",453801,6
"43","Average hours worked per employee, by working time, NACE Rev. 2 activity and NUTS 1 region","lc_rnum2_r2","dataset","05.10.2023","10.01.2024","2008","2020",173565,6
"44","Number of statistical units, by NACE Rev. 2 activity and NUTS 1 region","lc_rstu_r2","dataset","01.12.2022","10.01.2024","2008","2020",78698,6
"45","Labour cost, wages and salaries, direct remuneration by NACE Rev. 1.1 activity and NUTS 1 region - LCS survey 2004","lc_r04cost","dataset","09.03.2011","07.06.2024","2004","2004",170572,6
"46","Structure of labour cost by NACE Rev. 1.1 activity and NUTS 1 region - % of total cost, LCS survey 2004","lc_r04struc","dataset","09.03.2011","07.06.2024","2004","2004",75156,6
"47","Number of employees and hours worked, by working time, NACE Rev. 1.1 activity and NUTS 1 region - LCS survey 2004","lc_r04num1","dataset","09.03.2011","07.06.2024","2004","2004",53684,6
"48","Average hours worked per employee, by working time, NACE Rev. 1.1 activity and NUTS 1 region - LCS survey 2004","lc_r04num2","dataset","09.03.2011","07.06.2024","2004","2004",21948,6
"49","Number of statistical units selected for the survey, by NACE Rev. 1.1 activity and NUTS 1 region - LCS survey 2004","lc_r04stu","dataset","09.03.2011","07.06.2024","2004","2004",8154,6
"50","Labour cost, wages and salaries, direct remuneration by NACE Rev. 1.1 activity and NUTS 1 region - LCS survey 2000","lc_r00cost","dataset","27.03.2009","14.10.2024","2000","2000",139464,6
