Activitati ale industriei CAEN Rev.2 - total  sectiuni si diviziuni  mari grupe industriale, Luni, UM: Procente, Valoare
TOTAL, Luna ianuarie 2005, Procente, 52.2
TOTAL, Luna februarie 2005, Procente, 53.2
TOTAL, Luna martie 2005, Procente, 60.2
TOTAL, Luna aprilie 2005, Procente, 57.6
TOTAL, Luna mai 2005, Procente, 55.6
TOTAL, Luna iunie 2005, Procente, 58.7
TOTAL, Luna iulie 2005, Procente, 55.7
TOTAL, Luna august 2005, Procente, 54.6
TOTAL, Luna septembrie 2005, Procente, 60.8
TOTAL, Luna octombrie 2005, Procente, 59.9
TOTAL, Luna noiembrie 2005, Procente, 63
TOTAL, Luna decembrie 2005, Procente, 56.3
TOTAL, Luna ianuarie 2006, Procente, 55
TOTAL, Luna februarie 2006, Procente, 57
TOTAL, Luna martie 2006, Procente, 64.7
TOTAL, Luna aprilie 2006, Procente, 58.4
TOTAL, Luna mai 2006, Procente, 64.9
TOTAL, Luna iunie 2006, Procente, 65.6
TOTAL, Luna iulie 2006, Procente, 62.1
TOTAL, Luna august 2006, Procente, 59.4
TOTAL, Luna septembrie 2006, Procente, 66.8
TOTAL, Luna octombrie 2006, Procente, 69.3
TOTAL, Luna noiembrie 2006, Procente, 69.1
TOTAL, Luna decembrie 2006, Procente, 59.5
TOTAL, Luna ianuarie 2007, Procente, 61.7
TOTAL, Luna februarie 2007, Procente, 65.3
TOTAL, Luna martie 2007, Procente, 74.7
TOTAL, Luna aprilie 2007, Procente, 64.2
TOTAL, Luna mai 2007, Procente, 72.3
TOTAL, Luna iunie 2007, Procente, 70.9
TOTAL, Luna iulie 2007, Procente, 70.4
TOTAL, Luna august 2007, Procente, 64.7
TOTAL, Luna septembrie 2007, Procente, 68.8
TOTAL, Luna octombrie 2007, Procente, 76.4
TOTAL, Luna noiembrie 2007, Procente, 75.7
TOTAL, Luna decembrie 2007, Procente, 64.4
TOTAL, Luna ianuarie 2008, Procente, 67.1
TOTAL, Luna februarie 2008, Procente, 72.9
TOTAL, Luna martie 2008, Procente, 74.5
TOTAL, Luna aprilie 2008, Procente, 71.2
TOTAL, Luna mai 2008, Procente, 75.8
TOTAL, Luna iunie 2008, Procente, 74.2
TOTAL, Luna iulie 2008, Procente, 74.7
TOTAL, Luna august 2008, Procente, 63.6
TOTAL, Luna septembrie 2008, Procente, 75.1
TOTAL, Luna octombrie 2008, Procente, 77.3
TOTAL, Luna noiembrie 2008, Procente, 68.6
TOTAL, Luna decembrie 2008, Procente, 56.3
TOTAL, Luna ianuarie 2009, Procente, 56.1
TOTAL, Luna februarie 2009, Procente, 62.3
TOTAL, Luna martie 2009, Procente, 68.2
TOTAL, Luna aprilie 2009, Procente, 64
TOTAL, Luna mai 2009, Procente, 68.2
TOTAL, Luna iunie 2009, Procente, 70.9
TOTAL, Luna iulie 2009, Procente, 71.6
TOTAL, Luna august 2009, Procente, 60
TOTAL, Luna septembrie 2009, Procente, 72.6
TOTAL, Luna octombrie 2009, Procente, 75.3
TOTAL, Luna noiembrie 2009, Procente, 72.2
TOTAL, Luna decembrie 2009, Procente, 62.9
TOTAL, Luna ianuarie 2010, Procente, 60.6
TOTAL, Luna februarie 2010, Procente, 63.7
TOTAL, Luna martie 2010, Procente, 73.5
TOTAL, Luna aprilie 2010, Procente, 67.8
TOTAL, Luna mai 2010, Procente, 70.1
TOTAL, Luna iunie 2010, Procente, 74.3
TOTAL, Luna iulie 2010, Procente, 73.1
TOTAL, Luna august 2010, Procente, 60.7
TOTAL, Luna septembrie 2010, Procente, 76.6
TOTAL, Luna octombrie 2010, Procente, 78.2
TOTAL, Luna noiembrie 2010, Procente, 78.9
TOTAL, Luna decembrie 2010, Procente, 71.1
TOTAL, Luna ianuarie 2011, Procente, 69
TOTAL, Luna februarie 2011, Procente, 72.3
TOTAL, Luna martie 2011, Procente, 81.9
TOTAL, Luna aprilie 2011, Procente, 72.2
TOTAL, Luna mai 2011, Procente, 78.4
TOTAL, Luna iunie 2011, Procente, 76.3
TOTAL, Luna iulie 2011, Procente, 75.8
TOTAL, Luna august 2011, Procente, 70
TOTAL, Luna septembrie 2011, Procente, 81.2
TOTAL, Luna octombrie 2011, Procente, 81.1
TOTAL, Luna noiembrie 2011, Procente, 83.3
TOTAL, Luna decembrie 2011, Procente, 70.5
TOTAL, Luna ianuarie 2012, Procente, 71.7
TOTAL, Luna februarie 2012, Procente, 73.4
TOTAL, Luna martie 2012, Procente, 82.1
TOTAL, Luna aprilie 2012, Procente, 72.8
TOTAL, Luna mai 2012, Procente, 82.6
TOTAL, Luna iunie 2012, Procente, 77.8
TOTAL, Luna iulie 2012, Procente, 78.9
TOTAL, Luna august 2012, Procente, 71.2
TOTAL, Luna septembrie 2012, Procente, 80.7
TOTAL, Luna octombrie 2012, Procente, 86.2
TOTAL, Luna noiembrie 2012, Procente, 85.2
TOTAL, Luna decembrie 2012, Procente, 71.3
TOTAL, Luna ianuarie 2013, Procente, 76
TOTAL, Luna februarie 2013, Procente, 78.7
TOTAL, Luna martie 2013, Procente, 83.2
TOTAL, Luna aprilie 2013, Procente, 87.3
TOTAL, Luna mai 2013, Procente, 81.2
TOTAL, Luna iunie 2013, Procente, 82
TOTAL, Luna iulie 2013, Procente, 88.1
TOTAL, Luna august 2013, Procente, 74.3
TOTAL, Luna septembrie 2013, Procente, 89
TOTAL, Luna octombrie 2013, Procente, 95.9
TOTAL, Luna noiembrie 2013, Procente, 93
TOTAL, Luna decembrie 2013, Procente, 78.6
TOTAL, Luna ianuarie 2014, Procente, 83.7
TOTAL, Luna februarie 2014, Procente, 86.3
TOTAL, Luna martie 2014, Procente, 92.2
TOTAL, Luna aprilie 2014, Procente, 88.5
TOTAL, Luna mai 2014, Procente, 91.5
TOTAL, Luna iunie 2014, Procente, 90.6
TOTAL, Luna iulie 2014, Procente, 93
TOTAL, Luna august 2014, Procente, 74.2
TOTAL, Luna septembrie 2014, Procente, 94.7
TOTAL, Luna octombrie 2014, Procente, 99.4
TOTAL, Luna noiembrie 2014, Procente, 93.3
TOTAL, Luna decembrie 2014, Procente, 81.1
TOTAL, Luna ianuarie 2015, Procente, 85.7
TOTAL, Luna februarie 2015, Procente, 88.3
TOTAL, Luna martie 2015, Procente, 95.5
TOTAL, Luna aprilie 2015, Procente, 88.9
TOTAL, Luna mai 2015, Procente, 90.2
TOTAL, Luna iunie 2015, Procente, 92.9
TOTAL, Luna iulie 2015, Procente, 96.2
TOTAL, Luna august 2015, Procente, 83.1
TOTAL, Luna septembrie 2015, Procente, 96.4
TOTAL, Luna octombrie 2015, Procente, 98.9
TOTAL, Luna noiembrie 2015, Procente, 95.5
TOTAL, Luna decembrie 2015, Procente, 86.3
TOTAL, Luna ianuarie 2016, Procente, 85.6
TOTAL, Luna februarie 2016, Procente, 91.6
TOTAL, Luna martie 2016, Procente, 100.2
TOTAL, Luna aprilie 2016, Procente, 96.1
TOTAL, Luna mai 2016, Procente, 93.4
TOTAL, Luna iunie 2016, Procente, 96.1
TOTAL, Luna iulie 2016, Procente, 93.5
TOTAL, Luna august 2016, Procente, 88
TOTAL, Luna septembrie 2016, Procente, 98.8
TOTAL, Luna octombrie 2016, Procente, 99.5
TOTAL, Luna noiembrie 2016, Procente, 101.3
TOTAL, Luna decembrie 2016, Procente, 88.2
TOTAL, Luna ianuarie 2017, Procente, 90.2
TOTAL, Luna februarie 2017, Procente, 95.6
TOTAL, Luna martie 2017, Procente, 110.5
TOTAL, Luna aprilie 2017, Procente, 95.6
TOTAL, Luna mai 2017, Procente, 107.7
TOTAL, Luna iunie 2017, Procente, 103.1
TOTAL, Luna iulie 2017, Procente, 100.7
TOTAL, Luna august 2017, Procente, 94.7
TOTAL, Luna septembrie 2017, Procente, 105.6
TOTAL, Luna octombrie 2017, Procente, 110.6
TOTAL, Luna noiembrie 2017, Procente, 110.3
TOTAL, Luna decembrie 2017, Procente, 96.1
TOTAL, Luna ianuarie 2018, Procente, 97.6
TOTAL, Luna februarie 2018, Procente, 101.3
TOTAL, Luna martie 2018, Procente, 111.8
TOTAL, Luna aprilie 2018, Procente, 99.6
TOTAL, Luna mai 2018, Procente, 108.8
TOTAL, Luna iunie 2018, Procente, 108.7
TOTAL, Luna iulie 2018, Procente, 108.1
TOTAL, Luna august 2018, Procente, 98.3
TOTAL, Luna septembrie 2018, Procente, 106.1
TOTAL, Luna octombrie 2018, Procente, 114.5
TOTAL, Luna noiembrie 2018, Procente, 113
TOTAL, Luna decembrie 2018, Procente, 95.4
TOTAL, Luna ianuarie 2019, Procente, 97.7
TOTAL, Luna februarie 2019, Procente, 103.3
TOTAL, Luna martie 2019, Procente, 111.6
TOTAL, Luna aprilie 2019, Procente, 101.1
TOTAL, Luna mai 2019, Procente, 109.2
TOTAL, Luna iunie 2019, Procente, 101.9
TOTAL, Luna iulie 2019, Procente, 104.8
TOTAL, Luna august 2019, Procente, 91.7
TOTAL, Luna septembrie 2019, Procente, 104.8
TOTAL, Luna octombrie 2019, Procente, 109.7
TOTAL, Luna noiembrie 2019, Procente, 106.9
TOTAL, Luna decembrie 2019, Procente, 92.2
TOTAL, Luna ianuarie 2020, Procente, 95.7
TOTAL, Luna februarie 2020, Procente, 100.8
TOTAL, Luna martie 2020, Procente, 97.5
TOTAL, Luna aprilie 2020, Procente, 62
TOTAL, Luna mai 2020, Procente, 76
TOTAL, Luna iunie 2020, Procente, 90.6
TOTAL, Luna iulie 2020, Procente, 98
TOTAL, Luna august 2020, Procente, 88.2
TOTAL, Luna septembrie 2020, Procente, 105
TOTAL, Luna octombrie 2020, Procente, 108.5
TOTAL, Luna noiembrie 2020, Procente, 103.7
TOTAL, Luna decembrie 2020, Procente, 94.6
TOTAL, Luna ianuarie 2021, Procente, 92.4
TOTAL, Luna februarie 2021, Procente, 96.1
TOTAL, Luna martie 2021, Procente, 108.6
TOTAL, Luna aprilie 2021, Procente, 103.3
TOTAL, Luna mai 2021, Procente, 98
TOTAL, Luna iunie 2021, Procente, 101.8
TOTAL, Luna iulie 2021, Procente, 101.2
TOTAL, Luna august 2021, Procente, 92.2
TOTAL, Luna septembrie 2021, Procente, 101.4
TOTAL, Luna octombrie 2021, Procente, 100.7
TOTAL, Luna noiembrie 2021, Procente, 105.6
TOTAL, Luna decembrie 2021, Procente, 98.7
TOTAL, Luna ianuarie 2022, Procente, 95.2
TOTAL, Luna februarie 2022, Procente, 99
TOTAL, Luna martie 2022, Procente, 111.1
TOTAL, Luna aprilie 2022, Procente, 98
TOTAL, Luna mai 2022, Procente, 106.6
TOTAL, Luna iunie 2022, Procente, 101.7
TOTAL, Luna iulie 2022, Procente, 101.8
TOTAL, Luna august 2022, Procente, 92.5
TOTAL, Luna septembrie 2022, Procente, 103.9
TOTAL, Luna octombrie 2022, Procente, 102.3
TOTAL, Luna noiembrie 2022, Procente, 104.1
TOTAL, Luna decembrie 2022, Procente, 89.2
TOTAL, Luna ianuarie 2023, Procente, 90.7
TOTAL, Luna februarie 2023, Procente, 96.2
TOTAL, Luna martie 2023, Procente, 108.7
TOTAL, Luna aprilie 2023, Procente, 91.1
TOTAL, Luna mai 2023, Procente, 104.8
TOTAL, Luna iunie 2023, Procente, 99.1
TOTAL, Luna iulie 2023, Procente, 97.9
TOTAL, Luna august 2023, Procente, 89.5
TOTAL, Luna septembrie 2023, Procente, 101.6
TOTAL, Luna octombrie 2023, Procente, 102.6
TOTAL, Luna noiembrie 2023, Procente, 101.5
TOTAL, Luna decembrie 2023, Procente, 86.1
TOTAL, Luna ianuarie 2024, Procente, 87
TOTAL, Luna februarie 2024, Procente, 96.4
TOTAL, Luna martie 2024, Procente, 104.3
TOTAL, Luna aprilie 2024, Procente, 102.1
TOTAL, Luna mai 2024, Procente, 93.1
TOTAL, Luna iunie 2024, Procente, 95.2
TOTAL, Luna iulie 2024, Procente, 98.3
TOTAL, Luna august 2024, Procente, 85.8
TOTAL, Luna septembrie 2024, Procente, 97.8
TOTAL, Luna octombrie 2024, Procente, 103.9
TOTAL, Luna noiembrie 2024, Procente, 100.8
TOTAL, Luna decembrie 2024, Procente, 86.8
TOTAL, Luna ianuarie 2025, Procente, 85
TOTAL, Luna februarie 2025, Procente, 91.4
INDUSTRIA EXTRACTIVA, Luna ianuarie 2005, Procente, 136.8
INDUSTRIA EXTRACTIVA, Luna februarie 2005, Procente, 127.8
INDUSTRIA EXTRACTIVA, Luna martie 2005, Procente, 144.8
INDUSTRIA EXTRACTIVA, Luna aprilie 2005, Procente, 136.4
INDUSTRIA EXTRACTIVA, Luna mai 2005, Procente, 136
INDUSTRIA EXTRACTIVA, Luna iunie 2005, Procente, 132.9
INDUSTRIA EXTRACTIVA, Luna iulie 2005, Procente, 139.2
INDUSTRIA EXTRACTIVA, Luna august 2005, Procente, 141.8
INDUSTRIA EXTRACTIVA, Luna septembrie 2005, Procente, 148.5
INDUSTRIA EXTRACTIVA, Luna octombrie 2005, Procente, 148.9
INDUSTRIA EXTRACTIVA, Luna noiembrie 2005, Procente, 156.5
INDUSTRIA EXTRACTIVA, Luna decembrie 2005, Procente, 154.2
INDUSTRIA EXTRACTIVA, Luna ianuarie 2006, Procente, 148.4
INDUSTRIA EXTRACTIVA, Luna februarie 2006, Procente, 136.3
INDUSTRIA EXTRACTIVA, Luna martie 2006, Procente, 150
INDUSTRIA EXTRACTIVA, Luna aprilie 2006, Procente, 140.9
INDUSTRIA EXTRACTIVA, Luna mai 2006, Procente, 144
INDUSTRIA EXTRACTIVA, Luna iunie 2006, Procente, 139.8
INDUSTRIA EXTRACTIVA, Luna iulie 2006, Procente, 144.8
INDUSTRIA EXTRACTIVA, Luna august 2006, Procente, 142.7
INDUSTRIA EXTRACTIVA, Luna septembrie 2006, Procente, 145.7
INDUSTRIA EXTRACTIVA, Luna octombrie 2006, Procente, 151.8
INDUSTRIA EXTRACTIVA, Luna noiembrie 2006, Procente, 153.8
INDUSTRIA EXTRACTIVA, Luna decembrie 2006, Procente, 147.2
INDUSTRIA EXTRACTIVA, Luna ianuarie 2007, Procente, 139.5
INDUSTRIA EXTRACTIVA, Luna februarie 2007, Procente, 135.5
INDUSTRIA EXTRACTIVA, Luna martie 2007, Procente, 149.5
INDUSTRIA EXTRACTIVA, Luna aprilie 2007, Procente, 134.1
INDUSTRIA EXTRACTIVA, Luna mai 2007, Procente, 146.3
INDUSTRIA EXTRACTIVA, Luna iunie 2007, Procente, 147.3
INDUSTRIA EXTRACTIVA, Luna iulie 2007, Procente, 136.1
INDUSTRIA EXTRACTIVA, Luna august 2007, Procente, 151.2
INDUSTRIA EXTRACTIVA, Luna septembrie 2007, Procente, 141.1
INDUSTRIA EXTRACTIVA, Luna octombrie 2007, Procente, 142.8
INDUSTRIA EXTRACTIVA, Luna noiembrie 2007, Procente, 149.1
INDUSTRIA EXTRACTIVA, Luna decembrie 2007, Procente, 144.7
INDUSTRIA EXTRACTIVA, Luna ianuarie 2008, Procente, 126.9
INDUSTRIA EXTRACTIVA, Luna februarie 2008, Procente, 125.2
INDUSTRIA EXTRACTIVA, Luna martie 2008, Procente, 145.2
INDUSTRIA EXTRACTIVA, Luna aprilie 2008, Procente, 136.4
INDUSTRIA EXTRACTIVA, Luna mai 2008, Procente, 144.1
INDUSTRIA EXTRACTIVA, Luna iunie 2008, Procente, 141.8
INDUSTRIA EXTRACTIVA, Luna iulie 2008, Procente, 148.3
INDUSTRIA EXTRACTIVA, Luna august 2008, Procente, 152.8
INDUSTRIA EXTRACTIVA, Luna septembrie 2008, Procente, 151.8
INDUSTRIA EXTRACTIVA, Luna octombrie 2008, Procente, 154.9
INDUSTRIA EXTRACTIVA, Luna noiembrie 2008, Procente, 146.7
INDUSTRIA EXTRACTIVA, Luna decembrie 2008, Procente, 142.4
INDUSTRIA EXTRACTIVA, Luna ianuarie 2009, Procente, 131.2
INDUSTRIA EXTRACTIVA, Luna februarie 2009, Procente, 120.4
INDUSTRIA EXTRACTIVA, Luna martie 2009, Procente, 138.6
INDUSTRIA EXTRACTIVA, Luna aprilie 2009, Procente, 113
INDUSTRIA EXTRACTIVA, Luna mai 2009, Procente, 124.3
INDUSTRIA EXTRACTIVA, Luna iunie 2009, Procente, 111
INDUSTRIA EXTRACTIVA, Luna iulie 2009, Procente, 124.5
INDUSTRIA EXTRACTIVA, Luna august 2009, Procente, 128.1
INDUSTRIA EXTRACTIVA, Luna septembrie 2009, Procente, 131.4
INDUSTRIA EXTRACTIVA, Luna octombrie 2009, Procente, 135.1
INDUSTRIA EXTRACTIVA, Luna noiembrie 2009, Procente, 131.5
INDUSTRIA EXTRACTIVA, Luna decembrie 2009, Procente, 121.9
INDUSTRIA EXTRACTIVA, Luna ianuarie 2010, Procente, 117.4
INDUSTRIA EXTRACTIVA, Luna februarie 2010, Procente, 113.2
INDUSTRIA EXTRACTIVA, Luna martie 2010, Procente, 118.4
INDUSTRIA EXTRACTIVA, Luna aprilie 2010, Procente, 112.7
INDUSTRIA EXTRACTIVA, Luna mai 2010, Procente, 107.6
INDUSTRIA EXTRACTIVA, Luna iunie 2010, Procente, 113.9
INDUSTRIA EXTRACTIVA, Luna iulie 2010, Procente, 123.9
INDUSTRIA EXTRACTIVA, Luna august 2010, Procente, 116.7
INDUSTRIA EXTRACTIVA, Luna septembrie 2010, Procente, 115
INDUSTRIA EXTRACTIVA, Luna octombrie 2010, Procente, 119.6
INDUSTRIA EXTRACTIVA, Luna noiembrie 2010, Procente, 122.6
INDUSTRIA EXTRACTIVA, Luna decembrie 2010, Procente, 126
INDUSTRIA EXTRACTIVA, Luna ianuarie 2011, Procente, 118.6
INDUSTRIA EXTRACTIVA, Luna februarie 2011, Procente, 116.2
INDUSTRIA EXTRACTIVA, Luna martie 2011, Procente, 124.6
INDUSTRIA EXTRACTIVA, Luna aprilie 2011, Procente, 123.5
INDUSTRIA EXTRACTIVA, Luna mai 2011, Procente, 122.7
INDUSTRIA EXTRACTIVA, Luna iunie 2011, Procente, 115.4
INDUSTRIA EXTRACTIVA, Luna iulie 2011, Procente, 116.3
INDUSTRIA EXTRACTIVA, Luna august 2011, Procente, 126.3
INDUSTRIA EXTRACTIVA, Luna septembrie 2011, Procente, 122.3
INDUSTRIA EXTRACTIVA, Luna octombrie 2011, Procente, 122
INDUSTRIA EXTRACTIVA, Luna noiembrie 2011, Procente, 121.5
INDUSTRIA EXTRACTIVA, Luna decembrie 2011, Procente, 125.3
INDUSTRIA EXTRACTIVA, Luna ianuarie 2012, Procente, 128.6
INDUSTRIA EXTRACTIVA, Luna februarie 2012, Procente, 109.2
INDUSTRIA EXTRACTIVA, Luna martie 2012, Procente, 135.2
INDUSTRIA EXTRACTIVA, Luna aprilie 2012, Procente, 123.9
INDUSTRIA EXTRACTIVA, Luna mai 2012, Procente, 127.6
INDUSTRIA EXTRACTIVA, Luna iunie 2012, Procente, 133.6
INDUSTRIA EXTRACTIVA, Luna iulie 2012, Procente, 135.8
INDUSTRIA EXTRACTIVA, Luna august 2012, Procente, 138.7
INDUSTRIA EXTRACTIVA, Luna septembrie 2012, Procente, 140.2
INDUSTRIA EXTRACTIVA, Luna octombrie 2012, Procente, 144.7
INDUSTRIA EXTRACTIVA, Luna noiembrie 2012, Procente, 140.4
INDUSTRIA EXTRACTIVA, Luna decembrie 2012, Procente, 140.7
INDUSTRIA EXTRACTIVA, Luna ianuarie 2013, Procente, 136.3
INDUSTRIA EXTRACTIVA, Luna februarie 2013, Procente, 124.9
INDUSTRIA EXTRACTIVA, Luna martie 2013, Procente, 132.6
INDUSTRIA EXTRACTIVA, Luna aprilie 2013, Procente, 139.1
INDUSTRIA EXTRACTIVA, Luna mai 2013, Procente, 133.9
INDUSTRIA EXTRACTIVA, Luna iunie 2013, Procente, 138.4
INDUSTRIA EXTRACTIVA, Luna iulie 2013, Procente, 135.7
INDUSTRIA EXTRACTIVA, Luna august 2013, Procente, 130.9
INDUSTRIA EXTRACTIVA, Luna septembrie 2013, Procente, 138.8
INDUSTRIA EXTRACTIVA, Luna octombrie 2013, Procente, 141.1
INDUSTRIA EXTRACTIVA, Luna noiembrie 2013, Procente, 140.1
INDUSTRIA EXTRACTIVA, Luna decembrie 2013, Procente, 141.5
INDUSTRIA EXTRACTIVA, Luna ianuarie 2014, Procente, 125.7
INDUSTRIA EXTRACTIVA, Luna februarie 2014, Procente, 126.2
INDUSTRIA EXTRACTIVA, Luna martie 2014, Procente, 138.3
INDUSTRIA EXTRACTIVA, Luna aprilie 2014, Procente, 132.9
INDUSTRIA EXTRACTIVA, Luna mai 2014, Procente, 145
INDUSTRIA EXTRACTIVA, Luna iunie 2014, Procente, 126
INDUSTRIA EXTRACTIVA, Luna iulie 2014, Procente, 143.4
INDUSTRIA EXTRACTIVA, Luna august 2014, Procente, 143.1
INDUSTRIA EXTRACTIVA, Luna septembrie 2014, Procente, 136.8
INDUSTRIA EXTRACTIVA, Luna octombrie 2014, Procente, 148.6
INDUSTRIA EXTRACTIVA, Luna noiembrie 2014, Procente, 136.4
INDUSTRIA EXTRACTIVA, Luna decembrie 2014, Procente, 147.2
INDUSTRIA EXTRACTIVA, Luna ianuarie 2015, Procente, 113.3
INDUSTRIA EXTRACTIVA, Luna februarie 2015, Procente, 114.6
INDUSTRIA EXTRACTIVA, Luna martie 2015, Procente, 133.1
INDUSTRIA EXTRACTIVA, Luna aprilie 2015, Procente, 123
INDUSTRIA EXTRACTIVA, Luna mai 2015, Procente, 129.3
INDUSTRIA EXTRACTIVA, Luna iunie 2015, Procente, 121.8
INDUSTRIA EXTRACTIVA, Luna iulie 2015, Procente, 117.7
INDUSTRIA EXTRACTIVA, Luna august 2015, Procente, 117.9
INDUSTRIA EXTRACTIVA, Luna septembrie 2015, Procente, 119.9
INDUSTRIA EXTRACTIVA, Luna octombrie 2015, Procente, 121.3
INDUSTRIA EXTRACTIVA, Luna noiembrie 2015, Procente, 115.9
INDUSTRIA EXTRACTIVA, Luna decembrie 2015, Procente, 116
INDUSTRIA EXTRACTIVA, Luna ianuarie 2016, Procente, 103.1
INDUSTRIA EXTRACTIVA, Luna februarie 2016, Procente, 101
INDUSTRIA EXTRACTIVA, Luna martie 2016, Procente, 113.8
INDUSTRIA EXTRACTIVA, Luna aprilie 2016, Procente, 103.9
INDUSTRIA EXTRACTIVA, Luna mai 2016, Procente, 102.1
INDUSTRIA EXTRACTIVA, Luna iunie 2016, Procente, 98.6
INDUSTRIA EXTRACTIVA, Luna iulie 2016, Procente, 102.4
INDUSTRIA EXTRACTIVA, Luna august 2016, Procente, 105.1
INDUSTRIA EXTRACTIVA, Luna septembrie 2016, Procente, 109.6
INDUSTRIA EXTRACTIVA, Luna octombrie 2016, Procente, 110.2
INDUSTRIA EXTRACTIVA, Luna noiembrie 2016, Procente, 112.9
INDUSTRIA EXTRACTIVA, Luna decembrie 2016, Procente, 111.5
INDUSTRIA EXTRACTIVA, Luna ianuarie 2017, Procente, 101.4
INDUSTRIA EXTRACTIVA, Luna februarie 2017, Procente, 101.6
INDUSTRIA EXTRACTIVA, Luna martie 2017, Procente, 108.8
INDUSTRIA EXTRACTIVA, Luna aprilie 2017, Procente, 113.6
INDUSTRIA EXTRACTIVA, Luna mai 2017, Procente, 122.7
INDUSTRIA EXTRACTIVA, Luna iunie 2017, Procente, 117.2
INDUSTRIA EXTRACTIVA, Luna iulie 2017, Procente, 116
INDUSTRIA EXTRACTIVA, Luna august 2017, Procente, 123.3
INDUSTRIA EXTRACTIVA, Luna septembrie 2017, Procente, 123.6
INDUSTRIA EXTRACTIVA, Luna octombrie 2017, Procente, 127.9
INDUSTRIA EXTRACTIVA, Luna noiembrie 2017, Procente, 122.7
INDUSTRIA EXTRACTIVA, Luna decembrie 2017, Procente, 125.8
INDUSTRIA EXTRACTIVA, Luna ianuarie 2018, Procente, 106.8
INDUSTRIA EXTRACTIVA, Luna februarie 2018, Procente, 107.1
INDUSTRIA EXTRACTIVA, Luna martie 2018, Procente, 117.1
INDUSTRIA EXTRACTIVA, Luna aprilie 2018, Procente, 109.4
INDUSTRIA EXTRACTIVA, Luna mai 2018, Procente, 118.4
INDUSTRIA EXTRACTIVA, Luna iunie 2018, Procente, 123.2
INDUSTRIA EXTRACTIVA, Luna iulie 2018, Procente, 120.9
INDUSTRIA EXTRACTIVA, Luna august 2018, Procente, 119.5
INDUSTRIA EXTRACTIVA, Luna septembrie 2018, Procente, 118
INDUSTRIA EXTRACTIVA, Luna octombrie 2018, Procente, 124
INDUSTRIA EXTRACTIVA, Luna noiembrie 2018, Procente, 122.2
INDUSTRIA EXTRACTIVA, Luna decembrie 2018, Procente, 114.9
INDUSTRIA EXTRACTIVA, Luna ianuarie 2019, Procente, 107.9
INDUSTRIA EXTRACTIVA, Luna februarie 2019, Procente, 105.5
INDUSTRIA EXTRACTIVA, Luna martie 2019, Procente, 118.7
INDUSTRIA EXTRACTIVA, Luna aprilie 2019, Procente, 117.9
INDUSTRIA EXTRACTIVA, Luna mai 2019, Procente, 115.7
INDUSTRIA EXTRACTIVA, Luna iunie 2019, Procente, 113.4
INDUSTRIA EXTRACTIVA, Luna iulie 2019, Procente, 112
INDUSTRIA EXTRACTIVA, Luna august 2019, Procente, 108.7
INDUSTRIA EXTRACTIVA, Luna septembrie 2019, Procente, 117.4
INDUSTRIA EXTRACTIVA, Luna octombrie 2019, Procente, 119.3
INDUSTRIA EXTRACTIVA, Luna noiembrie 2019, Procente, 115.5
INDUSTRIA EXTRACTIVA, Luna decembrie 2019, Procente, 112.2
INDUSTRIA EXTRACTIVA, Luna ianuarie 2020, Procente, 105.5
INDUSTRIA EXTRACTIVA, Luna februarie 2020, Procente, 104.2
INDUSTRIA EXTRACTIVA, Luna martie 2020, Procente, 109.8
INDUSTRIA EXTRACTIVA, Luna aprilie 2020, Procente, 96.2
INDUSTRIA EXTRACTIVA, Luna mai 2020, Procente, 94.6
INDUSTRIA EXTRACTIVA, Luna iunie 2020, Procente, 93.2
INDUSTRIA EXTRACTIVA, Luna iulie 2020, Procente, 100.3
INDUSTRIA EXTRACTIVA, Luna august 2020, Procente, 97.3
INDUSTRIA EXTRACTIVA, Luna septembrie 2020, Procente, 107
INDUSTRIA EXTRACTIVA, Luna octombrie 2020, Procente, 108.6
INDUSTRIA EXTRACTIVA, Luna noiembrie 2020, Procente, 103.9
INDUSTRIA EXTRACTIVA, Luna decembrie 2020, Procente, 107.9
INDUSTRIA EXTRACTIVA, Luna ianuarie 2021, Procente, 92.8
INDUSTRIA EXTRACTIVA, Luna februarie 2021, Procente, 90.8
INDUSTRIA EXTRACTIVA, Luna martie 2021, Procente, 102
INDUSTRIA EXTRACTIVA, Luna aprilie 2021, Procente, 107.4
INDUSTRIA EXTRACTIVA, Luna mai 2021, Procente, 102.2
INDUSTRIA EXTRACTIVA, Luna iunie 2021, Procente, 100.7
INDUSTRIA EXTRACTIVA, Luna iulie 2021, Procente, 97.7
INDUSTRIA EXTRACTIVA, Luna august 2021, Procente, 96.8
INDUSTRIA EXTRACTIVA, Luna septembrie 2021, Procente, 99.7
INDUSTRIA EXTRACTIVA, Luna octombrie 2021, Procente, 104.1
INDUSTRIA EXTRACTIVA, Luna noiembrie 2021, Procente, 105.4
INDUSTRIA EXTRACTIVA, Luna decembrie 2021, Procente, 100.3
INDUSTRIA EXTRACTIVA, Luna ianuarie 2022, Procente, 91.8
INDUSTRIA EXTRACTIVA, Luna februarie 2022, Procente, 88.7
INDUSTRIA EXTRACTIVA, Luna martie 2022, Procente, 97.1
INDUSTRIA EXTRACTIVA, Luna aprilie 2022, Procente, 94.6
INDUSTRIA EXTRACTIVA, Luna mai 2022, Procente, 96.3
INDUSTRIA EXTRACTIVA, Luna iunie 2022, Procente, 98.7
INDUSTRIA EXTRACTIVA, Luna iulie 2022, Procente, 103.4
